         495801 function calls (487175 primitive calls) in 0.579 seconds

   Ordered by: cumulative time
   List reduced from 788 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      266    0.007    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:958(fast_xs)
       90    0.000    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:68(__and__)
       50    0.001    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1785(_setitem_with_indexer)
      100    0.000    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:98(__add__)
     3286    0.009    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6233(__finalize__)
      130    0.000    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/base.py:196(where)
      940    0.001    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/computation/expressions.py:226(evaluate)
       90    0.001    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:623(reindex_indexer)
       50    0.000    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2179(_setitem_single_block)
      350    0.001    0.000    0.011    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:3971(_ixs)
      940    0.001    0.000    0.011    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/computation/expressions.py:67(_evaluate_standard)
       10    0.000    0.000    0.011    0.001 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/candidate_selection.py:66(_score_higher_better)
       10    0.000    0.000    0.010    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
      190    0.000    0.000    0.010    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:5127(reindex)
      520    0.001    0.000    0.010    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
      190    0.002    0.000    0.010    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:5340(reindex)
       80    0.000    0.000    0.009    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:54(__gt__)
      520    0.001    0.000    0.009    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
      110    0.000    0.000    0.009    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:76(__or__)
       10    0.000    0.000    0.008    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/strings/accessor.py:129(wrapper)
       10    0.002    0.000    0.008    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/strings/accessor.py:1200(contains)
    13190    0.004    0.000    0.008    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
       10    0.000    0.000    0.008    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
        9    0.000    0.000    0.008    0.001 /Users/karekin/Downloads/coding/project/vnpy/vnpy/web/core/cb_backtest/portfolio_backtest.py:140(compute_daily_return)
      190    0.001    0.000    0.008    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:7139(fillna)
      200    0.001    0.000    0.008    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:393(logical_op)


