         4224973 function calls (4154981 primitive calls) in 7.886 seconds

   Ordered by: cumulative time
   List reduced from 794 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6240    0.009    0.000    0.256    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
       80    0.001    0.000    0.247    0.003 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:673(to_datetime)
     6240    0.105    0.000    0.245    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
     5040    0.012    0.000    0.234    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4614(_get_item_cache)
      880    0.001    0.000    0.232    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:76(__or__)
    26249    0.144    0.000    0.230    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6233(__finalize__)
       80    0.001    0.000    0.222    0.003 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:314(_convert_listlike_datetimes)
      400    0.002    0.000    0.221    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1785(_setitem_with_indexer)
   111709    0.063    0.000    0.218    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:42(_instancecheck)
      400    0.010    0.000    0.213    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2179(_setitem_single_block)
    10636    0.037    0.000    0.205    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/_config/config.py:145(_get_option)
    10800    0.027    0.000    0.204    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:806(_set_axis)
     5680    0.038    0.000    0.203    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:240(arithmetic_op)
     9360    0.175    0.000    0.196    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/construction.py:763(_try_cast)
     2960    0.008    0.000    0.194    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:3971(_ixs)
      160    0.000    0.000    0.193    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/frame.py:4611(_clear_item_cache)
      160    0.192    0.001    0.192    0.001 {method 'clear' of 'dict' objects}
     1520    0.014    0.000    0.188    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:7139(fillna)
     7520    0.038    0.000    0.186    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
       80    0.014    0.000    0.185    0.002 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/tools/datetimes.py:456(_array_strptime_with_fallback)
      960    0.005    0.000    0.175    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2632(check_bool_indexer)
     7994    0.065    0.000    0.173    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:790(copy)
    24729    0.127    0.000    0.172    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:278(__init__)
    13929    0.060    0.000    0.170    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:339(_from_mgr)
    10880    0.010    0.000    0.168    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:236(set_axis)


