         266191 function calls (261702 primitive calls) in 0.611 seconds

   Ordered by: cumulative time
   List reduced from 794 to 80 due to restriction <80>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      661    0.000    0.000    0.015    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/_config/config.py:145(_get_option)
      715    0.002    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
1870/1780    0.010    0.000    0.014    0.000 {built-in method builtins.all}
       20    0.000    0.000    0.014    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1365(_getitem_tuple)
       20    0.000    0.000    0.014    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:1032(_getitem_lowerdim)
       45    0.000    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:68(__and__)
     3033    0.004    0.000    0.014    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:6298(__setattr__)
       90    0.000    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/series.py:5127(reindex)
       90    0.000    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/generic.py:5340(reindex)
       15    0.000    0.000    0.013    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/managers.py:421(astype)
      470    0.001    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/array_ops.py:189(_na_arithmetic_op)
      580    0.011    0.000    0.013    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/ops/common.py:81(get_op_result_name)
       15    0.000    0.000    0.013    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/internals/blocks.py:723(astype)
       15    0.000    0.000    0.013    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/astype.py:191(astype_array_safe)
       15    0.000    0.000    0.012    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/astype.py:157(astype_array)
      661    0.012    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/_config/config.py:635(_get_root)
       10    0.012    0.001    0.012    0.001 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/dtypes/astype.py:56(_astype_nansafe)
       25    0.000    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/indexing.py:2348(_align_series)
       30    0.000    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/arraylike.py:50(__le__)
      470    0.000    0.000    0.012    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/computation/expressions.py:226(evaluate)
      470    0.001    0.000    0.011    0.000 /opt/anaconda3/envs/agentmesh/lib/python3.12/site-packages/pandas/core/computation/expressions.py:67(_evaluate_standard)


